"original","mogrified"
"Feb1","1-Feb"
"Feb1","2/1"
"Feb1","02/01"
"Feb1","2/01"
"Feb1","02/1"
"Feb1","02-1"
"Feb1","02-01"
"Feb1","2-1"
"Feb1","2-01"
"Feb10","10-Feb"
"Feb10","2/10"
"Feb10","02/10"
"Feb10","2/10"
"Feb10","02-10"
"Feb10","2-10"
"Feb2","2-Feb"
"Feb2","2/2"
"Feb2","02/02"
"Feb2","2/02"
"Feb2","02/2"
"Feb2","02-2"
"Feb2","02-02"
"Feb2","2-2"
"Feb2","2-02"
"Feb5","5-Feb"
"Feb5","9/5"
"Feb5","09/05"
"Feb5","9/05"
"Feb5","09/5"
"Feb5","09-5"
"Feb5","09-05"
"Feb5","9-5"
"Feb5","9-05"
"Feb6","6-Feb"
"Feb6","9/6"
"Feb6","09/06"
"Feb6","9/06"
"Feb6","09/6"
"Feb6","09-6"
"Feb6","09-06"
"Feb6","9-6"
"Feb6","9-06"
"Feb7","7-Feb"
"Feb7","2/7"
"Feb7","02/07"
"Feb7","2/07"
"Feb7","02/7"
"Feb7","02-7"
"Feb7","02-07"
"Feb7","2-7"
"Feb7","2-07"
"Feb9","9-Feb"
"Feb9","2/9"
"Feb9","02/09"
"Feb9","2/09"
"Feb9","02/9"
"Feb9","02-9"
"Feb9","02-09"
"Feb9","2-9"
"Feb9","2-09"
"Marc1","1-Mar"
"Marc1","3/1"
"Marc1","03/01"
"Marc1","3/01"
"Marc1","03/1"
"Marc1","03-1"
"Marc1","03-01"
"Marc1","3-1"
"Marc1","3-01"
"Marc2","2-Mar"
"Marc2","3/2"
"Marc2","03/02"
"Marc2","3/02"
"Marc2","03/2"
"Marc2","03-2"
"Marc2","03-02"
"Marc2","3-2"
"Marc2","3-02"
"March1","1-Mar"
"March1","3/1"
"March1","03/01"
"March1","3/01"
"March1","03/1"
"March1","03-1"
"March1","03-01"
"March1","3-1"
"March1","3-01"
"March10","10-Mar"
"March10","3/10"
"March10","03/10"
"March10","03-10"
"March10","3-10"
"March11","11-Mar"
"March11","3/11"
"March11","03/11"
"March11","03-11"
"March11","3-11"
"March2","2-Mar"
"March2","3/2"
"March2","3/02"
"March2","03/02"
"March2","03/2"
"March2","03-2"
"March2","03-02"
"March2","3-2"
"March2","3-02"
"March3","3-Mar"
"March3","3/3"
"March3","03/03"
"March3","3/03"
"March3","03/3"
"March3","03-3"
"March3","03-03"
"March3","3-3"
"March3","3-03"
"March4","4-Mar"
"March4","3/4"
"March4","03/04"
"March4","3/04"
"March4","03/4"
"March4","03-4"
"March4","03-04"
"March4","3-4"
"March4","3-04"
"March5","5-Mar"
"March5","3/5"
"March5","03/05"
"March5","3/05"
"March5","03/5"
"March5","03-5"
"March5","03-05"
"March5","3-5"
"March5","3-05"
"March6","6-Mar"
"March6","3/6"
"March6","03/06"
"March6","3/06"
"March6","03/6"
"March6","03-6"
"March6","03-06"
"March6","3-6"
"March6","3-06"
"March7","7-Mar"
"March7","3/7"
"March7","03/07"
"March7","3/07"
"March7","03/7"
"March7","03-7"
"March7","03-07"
"March7","3-7"
"March7","3-07"
"March8","8-Mar"
"March8","3/8"
"March8","03/08"
"March8","3/08"
"March8","03/8"
"March8","03-8"
"March8","03-08"
"March8","3-8"
"March8","3-08"
"March9","9-Mar"
"March9","3/9"
"March9","03/09"
"March9","3/09"
"March9","03/9"
"March9","03-9"
"March9","03-09"
"March9","3-9"
"March9","3-09"
"Sep15","15-Sep"
"Sep15","9/15"
"Sep15","09/15"
"Sep15","09-15"
"Sep15","9-15"
"Sept1","1-Sep"
"Sept1","9/1"
"Sept1","09/01"
"Sept1","9/01"
"Sept1","09/1"
"Sept1","09-1"
"Sept1","09-01"
"Sept1","9-1"
"Sept1","9-01"
"Sept10","10-Sep"
"Sept10","9/10"
"Sept10","09/10"
"Sept10","09-10"
"Sept10","9-10"
"Sept11","11-Sep"
"Sept11","9/11"
"Sept11","09/11"
"Sept11","09-11"
"Sept11","9-11"
"Sept12","12-Sep"
"Sept12","9/12"
"Sept12","09/12"
"Sept12","09-12"
"Sept12","9-12"
"Sept14","14-Sep"
"Sept14","9/14"
"Sept14","09/14"
"Sept14","09-14"
"Sept14","9-14"
"Sept2","2-Sep"
"Sept2","9/2"
"Sept2","09/02"
"Sept2","9/02"
"Sept2","09/2"
"Sept2","09-2"
"Sept2","09-02"
"Sept2","9-2"
"Sept2","9-02"
"Sept3","3-Sep"
"Sept3","9/3"
