"original","mogrified"
"Sept3","09/03"
"Sept3","9/03"
"Sept3","09/3"
"Sept3","09-3"
"Sept3","09-03"
"Sept3","9-3"
"Sept3","9-03"
"Sept4","4-Sep"
"Sept4","9/4"
"Sept4","9/04"
"Sept4","09/04"
"Sept4","09/4"
"Sept4","09-4"
"Sept4","09-04"
"Sept4","9-4"
"Sept4","9-04"
"Sept5","5-Sep"
"Sept5","9/5"
"Sept5","9/05"
"Sept5","09/05"
"Sept5","09/5"
"Sept5","09-5"
"Sept5","09-05"
"Sept5","9-5"
"Sept5","9-05"
"Sept6","6-Sep"
"Sept6","9/6"
"Sept6","09/06"
"Sept6","9/06"
"Sept6","09/6"
"Sept6","09-6"
"Sept6","09-06"
"Sept6","9-6"
"Sept6","9-06"
"Sept7","7-Sep"
"Sept7","9/7"
"Sept7","09/07"
"Sept7","9/07"
"Sept7","09/7"
"Sept7","09-7"
"Sept7","09-07"
"Sept7","9-7"
"Sept7","9-07"
"Sept8","8-Sep"
"Sept8","9/8"
"Sept8","09/08"
"Sept8","9/08"
"Sept8","09/8"
"Sept8","09-8"
"Sept8","09-08"
"Sept8","9-8"
"Sept8","9-08"
"Sept9","9-Sep"
"Sept9","9/9"
"Sept9","09/09"
"Sept9","9/09"
"Sept9","09/9"
"Sept9","09-9"
"Sept9","09-09"
"Sept9","9-9"
"Sept9","9-09"
"Dec1","1-Dec"
"Dec1","12/1"
"Dec1","12/01"
"Dec1","12-01"
"Dec1","12-1"
"Pou5f1","4-Oct"
"Pou5f1","10/4"
"Pou5f1","10-4"
"Pou5f1","10/04"
"Pou5f1","10-04"
"Pou5f1","3-Oct"
"Pou5f1","10/3"
"Pou5f1","10-3"
"Pou5f1","10/03"
"Pou5f1","10-03"
