"original","mogrified"
"BHLHE40","12-1"
"DELEC1","1-Dec"
"DELEC1","12/1"
"DELEC1","12/01"
"DELEC1","12-01"
"DELEC1","12-1"
"POU5F1","4-Oct"
"POU5F1","10/4"
"POU5F1","10-4"
"POU5F1","10/04"
"POU5F1","10-04"
"POU5F1","3-Oct"
"POU5F1","10/3"
"POU5F1","10-3"
"POU5F1","10/03"
"POU5F1","10-03"
